"","popularity","acousticness","danceability","duration_ms","energy","liveness","loudness","speechiness","tempo","valence","length_title"
"243",45,0.092,0.6,253746,0.548,0.0879,-11.123,0.0295,155.942,0.82,8
"244",49,0.00042,0.775,376815,0.67,0.0951,-4.676,0.04,140.019,0.365,10
"245",34,0.0147,0.198,34459,0.397,0.121,-13.971,0.0429,86.788,0.0395,11
"251",59,0.00943,0.507,282273,0.934,0.222,-2.325,0.188,175.954,0.471,30
"254",33,0.731,0.23,128640,0.424,0.155,-11.326,0.0356,97.627,0.391,13
"256",34,0.00886,0.564,242660,0.598,0.0904,-9.65,0.0301,129.998,0.374,22
"257",28,0.0389,0.673,241200,0.717,0.106,-8.365,0.0382,81.962,0.624,9
"258",46,0.015,0.608,272143,0.783,0.354,-5.924,0.133,139.994,0.41,13
"260",56,0.384,0.737,194735,0.457,0.104,-8.547,0.0339,147.947,0.447,9
"261",26,0.437,0.626,71228,0.646,0.177,-10.74,0.0444,160.012,0.587,18
"263",42,0.074,0.655,175613,0.823,0.0756,-4.597,0.0973,133.919,0.364,17
"264",22,0.000354,0.343,263267,0.955,0.114,-2.374,0.0906,164.95,0.543,9
"267",39,0.00936,0.726,250000,0.703,0.113,-6.965,0.0499,120.954,0.434,14
"269",34,0.0363,0.659,168000,0.932,0.133,-4.972,0.125,100.034,0.394,42
"270",41,0.0355,0.535,334467,0.699,0.354,-7.16,0.0456,113.022,0.258,8
"272",43,0.035,0.576,320173,0.463,0.099,-9.021,0.0283,141.957,0.404,9
"273",51,0.0463,0.331,339310,0.668,0.227,-3.167,0.0415,145.133,0.152,7
"274",43,0.76,0.728,227022,0.541,0.0925,-7.423,0.0722,126.082,0.558,7
"275",30,3.9e-05,0.568,378693,0.709,0.33,-6.188,0.0304,122.987,0.211,51
"276",47,0.872,0.619,228867,0.564,0.16,-10.696,0.0293,131.908,0.787,9
"277",37,0.157,0.685,351907,0.652,0.111,-7.501,0.0493,119.989,0.521,28
"279",32,0.125,0.485,352000,0.919,0.122,-9.312,0.0651,79.988,0.432,35
"280",29,0.00396,0.771,233600,0.64,0.0993,-5.666,0.155,74.987,0.424,7
"282",62,0.262,0.374,201600,0.886,0.0919,-4.004,0.0613,150.082,0.113,5
"283",55,0.00112,0.905,264000,0.838,0.608,-6.838,0.0499,126.007,0.464,11
"284",45,0.359,0.467,210000,0.793,0.106,-7.316,0.0825,141.957,0.269,34
"285",35,0.0189,0.658,412220,0.602,0.0841,-12.426,0.0361,99.991,0.132,30
"286",37,0.281,0.464,329733,0.579,0.0992,-9.136,0.0596,171.752,0.14,11
"288",43,0.303,0.94,278117,0.459,0.126,-8.006,0.0561,107.006,0.304,17
"290",38,0.435,0.664,236520,0.691,0.137,-8.358,0.0873,83.047,0.756,10
"292",36,0.0282,0.723,338241,0.63,0.126,-9.344,0.0377,99.989,0.039,6
"293",31,0.405,0.746,393573,0.431,0.0482,-8.425,0.0423,128.033,0.395,35
"296",39,0.021,0.685,297627,0.979,0.0692,-4.768,0.0544,109.955,0.322,12
"297",53,0.594,0.722,188592,0.375,0.128,-8.276,0.0366,89.982,0.101,20
"299",47,0.0136,0.719,252267,0.93,0.302,-5.08,0.0672,126.013,0.806,15
"300",41,0.0368,0.226,265200,0.403,0.201,-16.024,0.0445,163.959,0.294,38
"301",33,0.956,0.39,304000,0.426,0.103,-15.723,0.045,180.196,0.314,22
"302",46,4.48e-05,0.487,341107,0.723,0.819,-11.148,0.143,138.007,0.391,43
"303",47,0.00139,0.449,297560,0.967,0.222,-4.253,0.106,104.478,0.176,27
"304",52,0.723,0.865,307547,0.443,0.0877,-14.168,0.16,96.023,0.689,32
"306",34,0.103,0.581,151475,0.915,0.0923,-4.828,0.0712,122.089,0.306,7
"307",31,0.0302,0.603,225067,0.593,0.0954,-8.082,0.0385,191.978,0.825,21
"309",51,0.0033399999999999,0.681,315585,0.915,0.354,-5.974,0.042,118.027,0.607,6
"310",51,0.718,0.647,263689,0.397,0.0974,-13.234,0.0816,179.868,0.179,15
"311",34,0.0626,0.794,300125,0.626,0.117,-8.304,0.0718,90,0.609,6
"313",38,0.0611,0.675,285947,0.611,0.0706,-5.31,0.0378,183.947,0.519,9
"314",36,0.000991,0.649,251453,0.961,0.0678,-5.799,0.0603,141.957,0.592,19
"317",44,0.000396,0.752,192187,0.878,0.0726,-4.02,0.129,111.979,0.156,29
"319",54,0.0125,0.465,230246,0.816,0.0891,-3.399,0.0926,192.041,0.343,11
"320",36,0.56,0.509,317600,0.431,0.122,-13.785,0.0469,178.161,0.178,10
"321",41,0.0563,0.754,219150,0.554,0.466,-11.023,0.0445,89.5,0.374,51
"323",41,0.331,0.791,261587,0.83,0.114,-7.446,0.0909,124.011,0.63,13
"324",33,0.264,0.434,297187,0.568,0.0708,-17.465,0.0315,141.957,0.202,6
"325",38,0.118,0.328,299970,0.699,0.113,-6.613,0.042,96.749,0.38,16
